CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),cluster,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,GMM_Cluster,PC1,PC2
97,Female,47,60,47,0,0,1,0,0,0.501918945,0.000972365
98,Female,27,60,50,0,0,1,0,0,-0.594222804,-0.046689717
99,Male,48,61,42,0,0,1,0,0,0.687859446,0.048592749
100,Male,20,61,49,0,0,1,0,0,-0.923503145,-0.022240321
101,Female,23,62,41,0,0,1,0,0,-0.553925903,0.034105779
102,Female,49,62,48,0,0,1,0,0,0.57222653,0.080081807
103,Male,67,62,59,0,0,1,0,0,1.18315812,0.102886847
104,Male,26,62,55,0,0,1,0,0,-0.785662448,0.020064395
105,Male,49,62,56,0,0,1,0,0,0.352900408,0.068349934
106,Female,21,62,42,0,0,1,0,0,-0.682731113,0.028313032
107,Female,66,63,50,0,0,1,0,0,1.377372237,0.152046905
108,Male,54,63,46,0,0,1,0,0,0.878698626,0.131955265
109,Male,68,63,43,0,0,1,0,0,1.670672039,0.166638557
110,Male,66,63,48,0,0,1,0,0,1.432203767,0.154979874
111,Male,65,63,52,0,0,1,0,0,1.271845984,0.146950806
112,Female,19,63,54,0,0,1,0,0,-1.114942789,0.044513791
113,Female,38,64,42,0,0,1,0,0,0.175413076,0.14133593
114,Male,19,64,46,0,0,1,0,0,-0.897449715,0.094370496
115,Female,18,65,48,0,0,1,0,0,-1.004809016,0.127399228
116,Female,19,65,50,0,0,1,0,0,-1.008945824,0.126629391
117,Female,63,65,43,0,0,1,0,0,1.41353233,0.232072564
118,Female,49,65,59,0,0,1,0,0,0.265153969,0.178324977
119,Female,51,67,43,0,0,1,0,0,0.801529563,0.282364651
120,Female,50,67,57,0,0,1,0,0,0.367014127,0.259670741
121,Male,27,67,56,0,0,1,0,0,-0.771548729,0.211385202
122,Female,38,67,40,0,0,1,0,0,0.224745464,0.258643394
123,Female,40,69,58,0,0,1,0,0,-0.171014961,0.312822606
124,Male,39,69,91,1,1,2,1,1,-1.126429936,0.262265497
125,Female,23,70,29,3,3,1,0,3,-0.239601102,0.356702245
126,Female,31,70,77,1,1,2,1,1,-1.150000052,0.303616056
127,Male,43,71,35,0,0,1,0,0,0.607965712,0.4292908
128,Male,40,71,95,1,1,2,1,1,-1.18906437,0.334812355
129,Male,59,71,11,3,3,0,0,3,2.07705964,0.499096524
130,Male,38,71,75,1,1,2,1,1,-0.74213851,0.359815776
131,Male,47,71,9,3,3,0,0,3,1.523554499,0.476071915
132,Male,39,71,75,1,1,2,1,1,-0.691443788,0.361978907
133,Female,25,72,34,0,0,1,0,0,-0.278956578,0.42994575
134,Female,31,72,71,1,1,2,1,1,-0.989171556,0.388664624
135,Male,20,73,5,3,3,0,0,3,0.260793952,0.499782966
136,Female,29,73,88,1,1,2,1,1,-1.558462058,0.397532962
137,Female,44,73,7,3,3,0,0,3,1.422635766,0.548765152
138,Male,32,73,73,1,1,2,1,1,-0.995141411,0.426019619
139,Male,19,74,10,3,3,0,0,3,0.071187356,0.528412246
140,Female,35,74,72,1,1,2,1,1,-0.817474526,0.47210033
141,Female,57,75,5,3,3,0,0,3,2.132832595,0.656068493
142,Male,32,75,93,1,1,2,1,1,-1.547122812,0.4729396
143,Female,28,76,40,0,0,1,0,0,-0.298699193,0.580135567
144,Female,32,76,87,1,1,2,1,1,-1.384461268,0.519863337
145,Male,25,77,12,3,3,0,0,3,0.315025018,0.652832562
146,Male,28,77,97,1,1,2,1,1,-1.863230859,0.534670801
147,Male,48,77,36,3,3,1,0,0,0.823025274,0.667388965
148,Female,32,77,74,1,1,2,1,1,-1.029889368,0.577052463
149,Female,34,78,22,3,3,0,0,3,0.495286822,0.695760735
150,Male,34,78,90,1,1,2,1,1,-1.368985214,0.596039811
151,Male,43,78,17,3,3,0,0,3,1.088618152,0.722561339
152,Male,39,78,88,1,1,2,1,1,-1.06068007,0.609788436
153,Female,44,78,20,3,3,0,0,3,1.057065579,0.720325018
154,Female,38,78,76,1,1,2,1,1,-0.78238561,0.625223115
155,Female,47,78,16,3,3,0,0,3,1.318812808,0.732680349
156,Female,27,78,89,1,1,2,1,1,-1.696432507,0.582364375
157,Male,37,78,1,3,3,0,0,3,1.22310206,0.733046297
158,Female,30,78,78,1,1,2,1,1,-1.242774922,0.604985095
159,Male,34,78,1,3,3,0,0,3,1.071017892,0.726556903
160,Female,30,78,73,1,1,2,1,1,-1.105696096,0.612317516
161,Female,56,79,35,3,3,1,0,0,1.252332725,0.762410164
162,Female,29,79,83,1,1,2,1,1,-1.432381518,0.633614375
163,Male,19,81,5,3,3,0,0,3,0.195434848,0.80261849
164,Female,31,81,93,1,1,2,1,1,-1.608815821,0.69952546
165,Male,50,85,26,3,3,0,0,3,1.183907989,0.991378725
166,Female,36,85,75,1,1,2,1,1,-0.869190624,0.88923716
167,Male,42,86,20,3,3,0,0,3,0.941011752,1.02099741
168,Female,33,86,95,1,1,2,1,1,-1.571423145,0.891542914
169,Female,36,87,27,3,3,0,0,3,0.443100011,1.035878064
170,Male,32,87,63,1,1,2,1,1,-0.746646428,0.974432108
171,Male,40,87,13,3,3,0,0,3,1.029699615,1.065061368
172,Male,28,87,75,1,1,2,1,1,-1.278414501,0.948181772
173,Male,36,87,10,3,3,0,0,3,0.90916802,1.060808295
174,Male,36,87,92,1,1,2,1,1,-1.338924729,0.940556593
175,Female,52,88,13,3,3,0,0,3,1.63620324,1.129143778
176,Female,30,88,86,1,1,2,1,1,-1.480431521,0.974501541
177,Male,58,88,15,3,3,0,0,3,1.885540045,1.139189598
178,Male,27,88,69,1,1,2,1,1,-1.16644768,0.992942378
179,Male,59,93,14,3,3,0,0,3,1.954485294,1.333443373
180,Male,35,93,90,1,1,2,1,1,-1.345786207,1.170075421
181,Female,37,97,32,3,3,0,0,3,0.33838543,1.411957094
182,Female,32,97,86,1,1,2,1,1,-1.395539505,1.321951291
183,Male,46,98,15,3,3,0,0,3,1.258872896,1.49448034
184,Female,29,98,88,1,1,2,1,1,-1.604288252,1.35065376
185,Female,41,99,39,3,3,0,0,3,0.345587869,1.486593894
186,Male,30,99,97,1,1,2,1,1,-1.802168464,1.377743366
187,Female,54,101,24,3,3,0,0,3,1.412189647,1.61296153
188,Male,28,101,68,1,1,2,1,1,-1.112166813,1.492194808
189,Female,41,103,17,3,3,0,0,3,0.941402513,1.671355874
190,Female,36,103,85,1,1,2,1,1,-1.176343136,1.560819293
191,Female,34,103,23,3,3,0,0,3,0.422044863,1.647415049
192,Female,32,103,69,1,1,2,-1,1,-0.940469783,1.575630514
193,Male,33,113,8,3,3,0,-1,3,0.764256141,2.048497499
194,Female,38,113,91,1,1,2,1,1,-1.257778759,1.93759497
195,Female,47,120,16,3,3,0,-1,3,1.241824803,2.333923289
196,Female,35,120,79,1,1,2,-1,1,-1.093705079,2.215577209
197,Female,45,126,28,3,3,0,-1,3,0.800447888,2.540748208
198,Male,32,126,74,1,1,2,-1,1,-1.119708707,2.445169227
199,Male,32,137,18,3,3,0,-1,3,0.395410621,2.946665492
200,Male,30,137,83,1,1,2,-1,1,-1.488003565,2.847017757
